Category,Name,Price,Owned,Url,Product Id
Beetles,Dynastes hercules rhinoceros beetle male Peru RARE,$65.00,No,https://bicbugs.com/product/dynastes-hercules-rhinoceros-beetle-male-peru-rare/,173994
Beetles,Golofa claviger rhinoceros beetle Peru,$12.00,No,https://bicbugs.com/product/golofa-claviger-rhinoceros-beetle-peru/,173996
Beetles,Chrysochroa fulminans blue violet form buprestid beetle Indonesia,$8.00,No,https://bicbugs.com/product/chrysochroa-fulminans-blue-violet-form-buprestid-beetle-indonesia/,174114
Beetles,Ischiopsopha bifasciata green scarab beetle Indonesia,$6.00,No,https://bicbugs.com/product/ischiopsopha-bifasciata-green-scarab-beetle-indonesia/,174259
Beetles,black scarab beetle USA,$6.00,No,https://bicbugs.com/product/black-scarab-beetle-usa/,176434
Beetles,Chrysina macropus female green blue scarab beetle Guatemala,$6.00,No,https://bicbugs.com/product/chrysina-macropus-female-green-blue-scarab-beetle-guatemala/,176441
Beetles,Derobrachus hovorei paloverde root borer Arizona USA,$8.00,No,https://bicbugs.com/product/derobrachus-hovorei-paloverde-root-borer-arizona-usa/,176545
Beetles,Polybothris gemma blue jewel beetle buprestid Madagascar,$12.00,No,https://bicbugs.com/product/polybothris-sumptuosa-gemma-blue-jewel-beetle-buprestid-madagascar/,176551
Beetles,Polybothris gemma blue green jewel beetle buprestid verso Madagascar,$12.00,No,https://bicbugs.com/product/polybothris-sumptuosa-gemma-blue-green-jewel-beetle-buprestid-verso-madagascar/,176556
Beetles,Cyphogastra calepyga blue violet buprestid beetle Indonesia,$10.00,No,https://bicbugs.com/product/cyphogastra-calepyga-blue-violet-buprestid-beetle-indonesia/,177856
Beetles,Pachyrrhynchus pseudamabilis red green weevil beetle Philippines,$12.00,No,https://bicbugs.com/product/pachyrrhynchus-postpubescens-pink-gold-weevil-beetle-philippines/,177984
Beetles,Pachyrrhynchus taylori red green weevil beetle Philippines,$12.00,No,https://bicbugs.com/product/pachyrrhynchus-taylori-red-green-weevil-beetle-philippines/,177990
